id,name,party,sector,country
UL,Ursula von der Leyen,CDU,EU-Kommissionspräsidentin,Deutschland
LK,Lars Klingbeil,SPD,Parteivorsitzender,Deutschland
NR,Norbert Röttgen,CDU,Mitglied im Auswärtigen Ausschuss,Deutschland
SW,Sahra Wagenknecht,Die Linke,Mitglied des Deutschen Bundestages,Deutschland
CS,Constanze Stelzenmüller,NA,Juristin und Publizistin ,Deutschland
CL,Christian Lindner,FDP,Bundesminister für Finanzen und Parteivorsitzender,Deutschland
KS,Karl Schlögel,NA,Historiker,Deutschland
LM,Ljudmyla Melnyk,NA,Projektleiterin und Wissenschaftlerin,Ukaine
KD,Kristina Dunz,NA,Stellvertretende Leiterin der Hauptstadtredaktion des Redaktionsnetzwerks DE,Deutschland
EL,Eglis Levits,NA,Lettischer Präsident,Lettland
AB,Annalena Baerbock,Bündnis 90/Die Grünen,Bundesaußenministerin,Deutschland
FT,Frans Timmermans,NA,Vizepräsident der Europäischen Kommission,Deutschland
AM,Andrij Melnyk,NA,Botschafterin der Ukraine in der Bundesrepublik DE,Deutschland
AGL,Alexander Graf Lambsdorff,FDP,Stellvertretender Fraktionsvorsitzender im Bundestag,Deutschland
ER,Egon Ramms,NA,"General a.D. des Heeres der Bundeswehr, Ehem. Oberbefehlshaber",Deutschland
RH,Robert Habeck,Bündnis 90/Die Grünen,Vizekanzler und Bundesminister für Wirtschaft und Klimaschutz,Deutschland
CM,Claudia Major,NA,Politikwissenschaftlerin,Deutschland
KP,Katja Petrowskaja,NA,Literaturwissenschaftlerin und Journalistin,Deutschland
RK,Roderich Kiesewetter,CDU,Mitglid des Bundestags,Deutschland
500,Folge 500,NA,NA,NA
501,Folge 501,NA,NA,NA
502,Folge 502,NA,NA,NA
503,Folge 503,NA,NA,NA
